code,row,col,x,y
E01017510,4,4,502535.1171162983,247634.89809476354
E01017511,6,4,502932.99718503206,248729.92998926807
E01017512,5,5,503663.1819084397,248571.20703008265
E01017513,2,6,503377.43906588084,247316.4559971937
E01017514,3,4,502854.5823221084,247089.76147545304
E01017515,2,4,502387.6956029803,246923.48690222006
E01017517,2,7,503808.54051485914,247140.15779897032
E01017518,3,10,506023.7905463568,248013.26272480976
E01017519,4,11,506448.7632267113,248880.91917578428
E01017520,4,12,507875.80806191463,248790.6637022694
E01017521,4,10,506314.8500083455,248216.73775186593
E01017522,5,9,505516.61891634046,249110.56237124858
E01017523,4,9,505900.06235913804,248666.8236322287
E01017524,5,11,506852.58866497903,249582.29069427785
E01017525,6,11,507202.5533851934,250040.2223229475
E01017526,5,12,507467.20960959746,249785.63164321322
E01017527,6,12,508112.45676070306,250044.1651995631
E01017528,9,3,500519.7853268682,253999.96664005474
E01017529,9,10,507323.7705901184,251654.55460925653
E01017530,10,9,506333.4210025667,252384.83820440984
E01017531,10,11,507417.69895912515,252041.4907277506
E01017532,9,9,506521.88891981967,251653.2643305024
E01017533,10,10,507046.6788663547,252231.66186136036
E01017534,8,9,506347.2945946783,251179.96116787544
E01017535,8,4,503499.7879086874,249923.1588432228
E01017536,6,5,503945.846671895,249604.121975136
E01017537,7,4,503147.5380920942,249384.09737216198
E01017538,5,6,503931.0183988125,249172.70899524694
E01017539,7,5,503847.31539204676,249751.5976146451
E01017540,12,8,506733.77753604285,264218.327165931
E01017541,12,7,503828.2539006806,262749.59650853014
E01017542,9,12,513831.34889123176,255817.59301479746
E01017543,11,11,512514.1245404293,259653.9346365762
E01017544,11,5,500019.1046689903,259391.89630197463
E01017545,12,6,500689.2327959983,263771.6841269751
E01017546,7,1,495340.88437260664,251768.21273660834
E01017547,4,2,498701.7597227257,248405.3422956668
E01017549,1,9,507073.97379218205,242794.49405266263
E01017552,1,5,502213.3447195872,243184.04903141578
E01017553,3,3,501131.8810175075,245751.14998896018
E01017554,2,3,500998.6216979766,245329.92748104315
E01033431,11,9,506160.0363679621,253289.12315933383
E01034412,11,10,507093.67957396613,254481.50156396258
E01034413,6,13,510087.5154026515,251774.29380201257
E01034414,7,3,501743.58463373414,250059.93643914006
E01034415,6,3,502279.46637266065,249092.37995336042
E01034416,5,2,501774.07476194535,248674.29881760894
E01034417,5,3,502211.58868810633,248290.7035717486
E01034418,6,8,505466.7325513654,249972.69635369754
E01034419,6,7,505249.03101905546,249768.89157029302
E01034420,5,8,504935.79519747273,248993.81649696926
E01034421,5,7,504461.579030191,248788.3784734038
E01034422,4,3,501893.6047238283,247128.29989084473
E01034423,2,5,503350.2643945269,246665.5541258908
E01034424,1,6,502673.07092497917,245794.60087411295
E01034425,3,2,499430.5494278702,245065.4866788198
E01034426,1,4,501318.841005688,244648.48560775115
E01034427,3,11,507539.07997057564,247619.78741641124
E01034428,2,11,508052.50350161473,246473.81907790032
E01034429,3,12,509321.49241388333,245935.29210228898
E01034430,1,10,507490.46456286556,244117.66405062098
E01034431,2,9,505354.92858636775,247315.85490809704
E01034432,2,8,504979.8867678906,246139.166510087
E01034433,1,7,505186.3746504532,244886.02603623676
E01034434,1,8,505518.98618891416,243997.39919462256
